ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	RCT	CID
22052204	30.178444	-90.790861	1.277	-110.5	775.8	-375.4	29.6	29.3	39.5	2022	5	22	0	13	8.7	-2.11	0	0	79	0	-9.0	0.024	1
22052215	30.175413	-90.792074	1.309	-227.0	439.9	-343.5	41.0	49.4	56.8	2022	5	22	0	37	44.91	-3.01	0	0	45	0	-9.0	0.018	1
22052218	30.163715	-90.79012	0.57	-39.2	-857.1	-1081.9	63.0	46.0	42.4	2022	5	22	0	42	11.72	-3.13	0	0	24	0	-9.0	0.021	1
22052225	30.16673	-90.789103	1.495	58.4	-522.9	-157.0	33.7	64.0	32.7	2022	5	22	1	2	35.23	-2.9	0	0	57	0	-9.0	0.017	1
22052228	30.162063	-90.792839	1.621	-301.1	-1040.1	-30.8	53.1	57.6	75.1	2022	5	22	1	11	32.31	-2.41	0	0	51	0	-9.0	0.015	1
22052301	30.161981	-90.79174	0.695	-195.0	-1049.1	-957.4	29.6	44.1	66.2	2022	5	23	2	53	59.57	-3.2	0	0	57	0	-9.0	0.024	1
22060307	30.182196	-90.795467	3.644	-553.8	1191.8	1991.6	64.9	57.5	45.4	2022	6	3	3	29	31.79	-1.48	0	0	44	0	-9.0	0.027	1
22060308	30.173641	-90.792537	1.546	-272.3	243.3	-105.9	36.1	28.7	40.6	2022	6	3	3	31	0.3	-2.12	0	0	127	0	-9.0	0.019	1
22060309	30.169421	-90.792244	1.3	-243.9	-224.5	-350.9	31.3	30.1	29.0	2022	6	3	3	31	59.39	-3.02	0	0	171	0	-9.0	0.025	1
22061607	30.181	-90.794222	1.182	-434.3	1059.2	-469.8	42.1	43.9	39.1	2022	6	16	22	42	25.38	-1.04	0	0	62	0	-9.0	0.021	1
22061610	30.174406	-90.795972	0.505	-602.9	328.1	-1146.9	23.3	21.9	21.8	2022	6	16	23	27	37.64		0	0	78	0	-9.0	0.021	1
22062703	30.180813	-90.788135	1.591	152.2	1038.5	-61.7	29.2	33.1	27.4	2022	6	27	21	34	11.36	-2.32	0	0	136	0	-9.0	0.023	1
22070505	30.159005	-90.794946	1.056	-504.2	-1379.1	-595.9	42.4	42.4	53.9	2022	7	5	18	22	44.26	-2.38	0	0	25	0	-9.0	0.024	1
22070507	30.17654	-90.78986	0.409	-13.8	564.8	-1243.6	24.1	30.6	36.3	2022	7	5	18	24	57.84	-2.9	0	0	58	0	-9.0	0.025	1
22070509	30.187044	-90.78929	3.184	41.0	1729.1	1532.2	42.4	51.0	37.3	2022	7	5	18	28	42.44	-1.3	0	0	125	0	-9.0	0.02	1
22070512	30.179388	-90.790438	2.522	-69.7	880.4	869.9	52.5	65.5	49.9	2022	7	5	21	8	37.56	-1.41	0	0	120	0	-9.0	0.021	1
22071001	30.167234	-90.794165	0.051	-428.5	-466.8	-1600.9	72.6	80.1	151.3	2022	7	10	21	14	49.64	-0.11	0	0	2	0	-9.0	0.021	1
