ID	LAT	LON	DEPTH	X	Y	Z	EX	EY	EZ	YR	MO	DY	HR	MI	SC	MAG	NCCP	NCCS	NCTP	NCTS	RCC	residual	CID
21050517	30.166083	-90.795011	2.951	-510.6	-594.5	1298.4	59.8	61.9	45.5	2021	5	5	10	2	53.44	1.75	0	0	90	0	-9.0	0.02	1
21050518	30.166632	-90.789958	0.168	-23.7	-533.5	-1484.3	37.6	83.3	70.4	2021	5	5	10	3	58.96	0.26	0	0	5	0	-9.0	0.026	1
21051002	30.167617	-90.789876	2.371	-15.3	-424.4	718.7	52.0	65.2	55.7	2021	5	10	5	48	29.13	-2.03	0	0	93	0	-9.0	0.021	1
21051004	30.177413	-90.796623	2.33	-665.4	661.4	677.4	43.1	53.6	48.1	2021	5	10	6	2	22.05	-2.5	0	0	70	0	-9.0	0.021	1
21051005	30.156779	-90.803556	5.375	-1333.5	-1625.9	3722.4	106.3	99.4	68.8	2021	5	10	6	8	27.11	-0.49	0	0	17	0	-9.0	0.021	1
21051011	30.177694	-90.804834	0.249	-1456.6	692.6	-1402.9	28.4	30.9	51.8	2021	5	10	14	26	14.76	-1.61	0	0	7	0	-9.0	0.02	1
21051013	30.167082	-90.794377	1.595	-449.3	-483.9	-57.4	38.1	50.2	43.7	2021	5	10	14	28	14.52	-2.34	0	0	135	0	-9.0	0.022	1
21051014	30.162657	-90.793115	2.041	-327.9	-974.2	388.9	45.1	54.3	54.7	2021	5	10	14	29	8.75	-1.93	0	0	105	0	-9.0	0.024	1
21051015	30.175818	-90.783577	0.869	591.0	484.6	-783.5	37.5	40.9	45.0	2021	5	10	14	29	49.72	-1.68	0	0	35	0	-9.0	0.022	1
21051016	30.181205	-90.782528	2.419	692.0	1081.9	767.2	32.2	43.7	71.3	2021	5	10	14	30	42.41	-1.66	0	0	123	0	-9.0	0.025	1
21051017	30.159125	-90.778833	1.576	1048.2	-1365.8	-76.3	56.8	61.8	58.6	2021	5	10	14	32	17.69	-1.68	0	0	25	0	-9.0	0.027	1
21051018	30.176343	-90.797298	1.282	-730.4	542.8	-369.8	28.7	30.8	23.8	2021	5	10	22	16	34.42	1.9	0	0	100	0	-9.0	0.024	1
21051019	30.175661	-90.79707	1.123	-708.4	467.2	-529.1	27.9	33.3	39.6	2021	5	10	22	17	11.88	1.71	0	0	117	0	-9.0	0.024	1
21051701	30.170315	-90.784375	0.461	514.0	-125.3	-1190.7	41.2	42.6	36.0	2021	5	17	22	12	15.48	-2.7	0	0	31	0	-9.0	0.023	1
